pair,cutoff_year,split,year_definition,n_dual,n_A_only,n_B_only,n_neither,n_undated_panel_scored,auroc_reportable,auroc_D_vs_A,auroc_D_vs_B,summary_min,ci_lo,ci_hi,note
EGFR/HER2,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,18,29,16,4,5,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
EGFR/HER2,2015,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,9,8,15,6,5,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
EGFR/HER2,2018,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,21,34,17,8,5,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
EGFR/HER2,2018,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,6,3,14,2,5,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
EGFR/HER2,2020,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,21,37,17,8,5,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
EGFR/HER2,2020,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,6,0,14,2,5,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
AChE/BChE,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,16,14,4,5,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
AChE/BChE,2015,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,11,11,24,10,0,1,0.6033,0.6364,0.6033,0.3384,0.7828,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
AChE/BChE,2018,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,19,20,13,9,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
AChE/BChE,2018,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,8,5,15,6,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
AChE/BChE,2020,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,22,22,14,9,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
AChE/BChE,2020,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,5,3,14,6,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PIK3CA/mTOR,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,12,12,11,4,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PIK3CA/mTOR,2015,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,6,2,1,0,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PIK3CA/mTOR,2018,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,16,14,11,4,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PIK3CA/mTOR,2018,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,2,0,1,0,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PIK3CA/mTOR,2020,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,17,14,12,4,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
PIK3CA/mTOR,2020,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,1,0,0,0,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
F2/F10,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,27,28,30,11,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
F2/F10,2015,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,4,4,2,1,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
F2/F10,2018,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,27,28,32,11,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
F2/F10,2018,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,4,4,0,1,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
F2/F10,2020,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,27,28,32,11,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
F2/F10,2020,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,4,4,0,1,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/TYK2,2015,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,4,1,3,1,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/TYK2,2015,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,27,31,29,13,0,1,0.5896,0.3333,0.3333,0.1977,0.4864,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/TYK2,2018,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,15,11,5,9,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/TYK2,2018,test_first_year_ge,min_document_year_STANDARD_OK_pchembl,16,21,27,5,0,1,0.622,0.3681,0.3681,0.2,0.5452,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
JAK1/TYK2,2020,train_first_year_lt,min_document_year_STANDARD_OK_pchembl,22,16,12,12,0,0,,,,,,archived year split; not formal SI; test AUROC only if dual/A/B each n≥10
