issue_id,severity,title,pair,affected_files,affected_code_lines,affected_metrics,affected_figures_tables,current_manuscript_value,independent_recalculation,reason,impact_on_conclusion,recommended_fix
WARNING-001,WARNING,JAK1/JAK2 holdout shares Murcko scaffolds with main,JAK1/JAK2,,,,Table S6,,8,Unused-pool holdouts are not scaffold-split. Overlap is leftover chemistry.,Does not invalidate the leftover-pool robustness check; must not be described as strict external validation.,Keep current Methods wording (internal unused-pool check).
WARNING-002,WARNING,JAK1/TYK2 holdout shares Murcko scaffolds with main,JAK1/TYK2,,,,Table S6,,8,Unused-pool holdouts are not scaffold-split. Overlap is leftover chemistry.,Does not invalidate the leftover-pool robustness check; must not be described as strict external validation.,Keep current Methods wording (internal unused-pool check).
WARNING-003,WARNING,PIK3CA/mTOR holdout shares Murcko scaffolds with main,PIK3CA/mTOR,,,,Table S6,,2,Unused-pool holdouts are not scaffold-split. Overlap is leftover chemistry.,Does not invalidate the leftover-pool robustness check; must not be described as strict external validation.,Keep current Methods wording (internal unused-pool check).
WARNING-004,WARNING,AChE/BChE holdout shares Murcko scaffolds with main,AChE/BChE,,,,Table S6,,9,Unused-pool holdouts are not scaffold-split. Overlap is leftover chemistry.,Does not invalidate the leftover-pool robustness check; must not be described as strict external validation.,Keep current Methods wording (internal unused-pool check).
WARNING-005,WARNING,F2/F10 holdout shares Murcko scaffolds with main,F2/F10,,,,Table S6,,12,Unused-pool holdouts are not scaffold-split. Overlap is leftover chemistry.,Does not invalidate the leftover-pool robustness check; must not be described as strict external validation.,Keep current Methods wording (internal unused-pool check).
WARNING-006,WARNING,PPARG/PPARA holdout shares Murcko scaffolds with main,PPARG/PPARA,,,,Table S6,,15,Unused-pool holdouts are not scaffold-split. Overlap is leftover chemistry.,Does not invalidate the leftover-pool robustness check; must not be described as strict external validation.,Keep current Methods wording (internal unused-pool check).
WARNING-007,WARNING,PPARA/PPARD holdout shares Murcko scaffolds with main,PPARA/PPARD,,,,Table S6,,17,Unused-pool holdouts are not scaffold-split. Overlap is leftover chemistry.,Does not invalidate the leftover-pool robustness check; must not be described as strict external validation.,Keep current Methods wording (internal unused-pool check).
MAJOR-008,MAJOR,3POZ docking box is not the Methods heavy-atom AABB,,data/egfr_her2_panel40_v0/boxes/3POZ_box.json,Methods 2.4.1; Table S2a; n_ligand_atoms=63 in box JSON,"EGFR/HER2 docking box geometry (not AUROC point estimates, which used the deposited box)",Table S2,"center/size [18.68, 32.127, 11.865, 22.189, 20.0, 22.836]; Methods: cognate heavy-atom AABB +5 Å / min 20 Å","heavy n=38 [18.816, 31.837, 11.725, 20.931, 20.0, 21.342]; all-atom n=63 [18.65, 32.143, 11.888, 22.173, 20.0, 22.902]; max|Δ| vs JSON heavy=1.494 all-atom=0.066","Deposited JSON records n_ligand_atoms=63, matching the hydrogen-inclusive SDF (38 heavy + 25 H). Independent heavy-atom boxes differ by >1 Å in at least one edge. AChE/PIK3CA boxes match heavy-atom Methods exactly. Scores were generated with the deposited boxes, so primary AUROCs remain internally consistent but the EGFR/HER2 site definition does not match the written protocol. Impact on AUROC is not verifiable without re-docking.",Does not independently change Table 2 numbers. It does mean EGFR/HER2 Methods/Table S2 overstate heavy-atom box construction. Re-docking could change EGFR/HER2 scores.,"Either recompute EGFR/HER2 boxes from cognate heavy atoms and re-dock, or revise Methods/Table S2 to state that EGFR/HER2 boxes used hydrogen-inclusive cognate coordinates from the original preparation."
MAJOR-009,MAJOR,3RCD docking box is not the Methods heavy-atom AABB,,data/egfr_her2_panel40_v0/boxes/3RCD_box.json,Methods 2.4.1; Table S2a; n_ligand_atoms=63 in box JSON,"EGFR/HER2 docking box geometry (not AUROC point estimates, which used the deposited box)",Table S2,"center/size [12.463, 3.371, 27.619, 23.222, 23.155, 20.0]; Methods: cognate heavy-atom AABB +5 Å / min 20 Å","heavy n=38 [12.552, 2.982, 28.152, 21.385, 22.378, 20.0]; all-atom n=63 [12.453, 3.283, 27.835, 23.233, 22.981, 20.0]; max|Δ| vs JSON heavy=1.837 all-atom=0.216","Deposited JSON records n_ligand_atoms=63, matching the hydrogen-inclusive SDF (38 heavy + 25 H). Independent heavy-atom boxes differ by >1 Å in at least one edge. AChE/PIK3CA boxes match heavy-atom Methods exactly. Scores were generated with the deposited boxes, so primary AUROCs remain internally consistent but the EGFR/HER2 site definition does not match the written protocol. Impact on AUROC is not verifiable without re-docking.",Does not independently change Table 2 numbers. It does mean EGFR/HER2 Methods/Table S2 overstate heavy-atom box construction. Re-docking could change EGFR/HER2 scores.,"Either recompute EGFR/HER2 boxes from cognate heavy atoms and re-dock, or revise Methods/Table S2 to state that EGFR/HER2 boxes used hydrogen-inclusive cognate coordinates from the original preparation."
MINOR-010,MINOR,"AChE/BChE construction used a ChEMBL-ID prefix cap, not a Murcko cap",,data/ache_bche_panel_v0/scripts/build_strict_panels.py,"19, 71-75",AChE/BChE panel membership (not AUROC formula),Table 1 Methods sentence on remaining pairs having no additional scaffold cap,the remaining pairs had no additional scaffold cap,MURCKO_CAP=5 applied to molecule_chembl_id[:8],"The AChE builder names a Murcko cap but applies it to an 8-character ChEMBL ID prefix because SMILES were deferred. This is a weak diversity proxy, not docking-based selection.",Does not change directional definitions. Slightly qualifies the 'no additional scaffold cap' sentence.,"Revise Methods to say AChE used an ID-prefix diversity cap of 5 during construction, or drop the claim for that pair."
