asset_type,asset_id,manuscript_role,hierarchy,canonical_source,supporting_script,frozen_input,status_on_8d5f2eeb,notes,status_on_integration,keep_for_release
main_table,Table 1,panel composition,primary,docs/METHODS_SECTION_JCIM_EN_V1.md (hardcoded from frozen panels),n/a,panel CSVs listed below,LOCKED,n_panel and n_scored match ablation complete-case counts,LOCKED,1
main_table,Table 2 point AUROC,worst-arm directional,primary,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv,data/jcim_strengthen_t0t1_v0/scripts/build_t0_strengthen_v1.py,ablation_ligand_scores.csv x4,LOCKED_POINT,0.6664/0.4297; 0.6504/0.6058; 0.6905/0.5000; 0.7143/0.6921 identical across unified_threshold and pocket_matched,LOCKED_POINT,1
main_table,Table 2 CI,ligand bootstrap on summary_min,primary,data/jcim_strengthen_t0t1_v0/tables/unified_threshold_sensitivity_v2.csv,build_t0_strengthen_v1.py boot_pm_ci,same scores,LOCKED_BUT_CONFLICTING_EXECUTABLE,manuscript [0.282; integration branch declared this the sole Table 2 CI,CANONICAL_TABLE2_CI,1
main_table,Table 2 descriptors,best-single-descriptor reference,primary,data/jcim_novelty_v0/tables/descriptor_all_four_directional_v1.csv,descriptor script via novelty pipeline,same panels,LOCKED,EGFR cLogP 0.4821; AChE TPSA 0.7333; PIK3CB/mTOR heavy 0.6217/0.463,LOCKED,1
main_table,Table 3 Dual-vs-neither,AUC(vina_mean),prespecified formulation,data/jcim_novelty_v0/tables/formulation_conventional_vs_directional_v1.csv,data/jcim_novelty_v0/scripts/benchmark_formulation_v1.py,same ablation scores,LOCKED,recomputed 0.7560/0.6494/0.5592/0.5139 exactly,LOCKED,1
main_table,Table 3 Dual-vs-all-nondual,AUC(vina_mean),prespecified formulation,same formulation CSV,benchmark_formulation_v1.py,same,LOCKED,0.5514/0.5792/0.5558/0.6741,LOCKED,1
index,MASTER_RESULTS_TABLE,manuscript-facing index,governance,data/jcim_novelty_v0/tables/MASTER_RESULTS_TABLE.csv,data/jcim_novelty_v0/scripts/build_master_results_table_v1.py,listed source_file column,LOCKED_INDEX,Table 2 rows point at unified_threshold NOT pocket_matched,LOCKED_INDEX,1
index,EVALUATION_CONTRACT,claim ceiling,governance,data/jcim_novelty_v0/tables/DUALFOURCLASS_EVALUATION_CONTRACT_v1.json,n/a,n/a,LOCKED,,LOCKED,1
index,CHECKSUM_MANIFEST,SHA-256 of manuscript-facing files,governance,data/jcim_novelty_v0/tables/REVISION_CHECKSUM_MANIFEST_v1.csv,build_checksum_manifest_v1.py,WATCH list,LOCKED_TO_8d5f2eeb,,LOCKED_TO_8d5f2eeb,1
index,ANALYSIS_HIERARCHY,primary vs sensitivity vs post-hoc,governance,docs/ANALYSIS_HIERARCHY_V1.md,n/a,n/a,LOCKED,,LOCKED,1
index,VALIDATOR,CI-enforced phrases and numeric pins,governance,data/jcim_novelty_v0/scripts/validate_revision_v1.py,n/a,unified_threshold theta_6.0 CIs,LOCKED,pins 0.4297 [0.2818,LOCKED,1
figure,Fig1,task schematic,primary,figures/jcim_article/Fig1_task_schematic.{pdf,png,tif},plot_jcim_article_figures_v1.py,schematic,plot_jcim_article_figures_v1.py,1
figure,Fig2,hard-negative supply,primary,figures/jcim_article/Fig2_hardneg_supply.{pdf,png,tif},plot_jcim_article_figures_v1.py,data/jcim_j0j1_v0/tables/j0_strict_label_supply.csv + crossdb_strict_supply_v1.csv,plot_jcim_article_figures_v1.py,1
figure,Fig3,formulation comparison,primary,figures/jcim_article/Fig3_formulation_comparison.{pdf,png,tif},plot_jcim_article_figures_v1.py,unified_threshold + formulation CSV,plot_jcim_article_figures_v1.py,1
figure,Fig4,confounds,primary,figures/jcim_article/Fig4_confounds.{pdf,png,tif},plot_jcim_article_figures_v1.py,unified_threshold + assembled_AChE_BChE.csv,plot_jcim_article_figures_v1.py,1
figure,Fig5,receptor realization,prespecified sensitivity,figures/jcim_article/Fig5_receptor_realization.{pdf,png,tif},plot_jcim_article_figures_v1.py,receptor_realization_two_pair_v1.csv + alt pocket_matched CSVs,plot_jcim_article_figures_v1.py,1
figure,Fig6,wrong-pocket paradox,prespecified sensitivity,figures/jcim_article/Fig6_wrong_pocket_paradox.{pdf,png,tif},plot_jcim_article_figures_v1.py,pocket_matched_directional_v1.csv + holdout_pocket_matched_v1.csv,plot_jcim_article_figures_v1.py,1
figure,Fig7,chemotype/matched subsets,prespecified sensitivity,figures/jcim_article/Fig7_confound_anatomy.{pdf,png,tif},plot_jcim_article_figures_v1.py,ligand_ml + covariate + matched_subset CSVs,plot_jcim_article_figures_v1.py,1
figure,Fig8,diagnostic workflow,discussion,figures/jcim_article/Fig8_diagnostic_workflow.{pdf,png,tif},plot_jcim_article_figures_v1.py,schematic,plot_jcim_article_figures_v1.py,1
figure,TOC,graphical abstract,front,figures/jcim_article/TOC_graphic.{png,tif},n/a,n/a,LOCKED,n/a,1
figure,FigS1,protocol sensitivity,prespecified sensitivity,figures/jcim_article/FigS1_protocol_sensitivity.{pdf,png,tif},plot_jcim_article_figures_v1.py,unified_threshold + gnina best9 + pm110 + E8,plot_jcim_article_figures_v1.py,1
figure,FigS2,equal-relation and sampling,prespecified sensitivity,figures/jcim_article/FigS2_equal_relation_and_sampling.{pdf,png,tif},plot_jcim_article_figures_v1.py,crossdb + holdout_vs_main,plot_jcim_article_figures_v1.py,1
figure,FigS3,paired delta bootstrap,prespecified sensitivity,figures/jcim_article/FigS3_paired_delta_bootstrap.{pdf,png,tif},plot_jcim_article_figures_v1.py,wrong_pocket_paired_delta + descriptor_delta + scaffold_vs_random,plot_jcim_article_figures_v1.py,1
figure,FigS4,pocket-matched forest,sensitivity,figures/jcim_article/FigS_pocket_matched_forest.{pdf,png,tif},plot_jcim_article_figures_v1.py,unified_threshold Vina CIs + forest_summary_min_ci_v1.csv descriptors,plot_jcim_article_figures_v1.py,1
figure,FigS5,unused-pool holdout,prespecified sensitivity,figures/jcim_article/FigS_unused_pool_holdout.{pdf,png,tif},plot_jcim_article_figures_v1.py,holdout_pocket_matched_v1.csv,plot_jcim_article_figures_v1.py,1
