id,compound_name_en,compound_name_cn,compound_type,covalent_site,site_species,human_ortholog_site,domain,warhead_type,mechanism_route,molecular_mechanism,validation_methods,activity,irreversible,selectivity_offtarget,developability_in_vivo,journal,year,doi,pubmed_status,af3_calibration_priority,notes
1,BIRB796 (doramapimod),BIRB796（多拉美莫德）,合成药物（Type II 参照）,—,Human (JNK2 共晶),—,DFG-out / Type II 全口袋（hinge + 后口袋 + DFG 区）,无共价弹头（可逆 ATP 竞争）,F_reversible_DFG_out,DFG-out 构象下占据扩展 ATP+后口袋 → 稳定 activation loop 于不可磷酸化构象 → 抑制 JNK2 激酶活性,共晶 PDB 3NPC（JNK2–BIRB796 2.0 Å）；MedChemComm 2016 AutoDock Vina 对接 3NPC + SWISS-MODEL JNK1/JNK3 DFG-out 同源模型；可及表面积比较,JNK2 IC50 ~6–150 nM；JNK1 >10000 nM；JNK3 ~1400 nM（ChEMBL/文献汇总）,否,JNK2 >> JNK1/JNK3（>100× vs JNK1）；主靶为 p38α 临床 Phase II,p38 临床化合物；JNK2 为 off-target 但结构经典,Roche/MedChemComm,2010/2016,https://doi.org/10.1039/C5MD00562K,Indexed (3NPC 2010; MedChemComm 2016),★★☆,"[选择性] JNK2偏好：唯一实验解析的JNK DFG-out(3NPC)；BIRB796 morpholino-naphthyl+aminopyrazole-urea填满DFG-out扩展口袋；JNK2 tolyl占后疏水腔；JNK1 Ile106+Met77/JNK3 Leu144+Met115使DFG-out口袋更小→Vina对接无法合理pose→>1000×失活 | [结构] 共晶✅ JNK2 PDB 3NPC(DFG-out,Type II)；对接✅ Vina至3NPC+JNK1/JNK3 DFG-out同源模型(MedChemComm2016)；非DFG-in非3ELJ | 用户所问「out蛋白对接」即此案例；与本项目8ELC共价DFG-in模板勿混用；**共价主表 id 13**
2,26k,26k,合成药物,—,Human (JNK3 共晶),—,DFG-in ATP 口袋 + HR-I 后口袋（氨基吡唑）,无共价弹头（可逆 ATP 竞争）,E_reversible_DFG_in,氨基吡唑 hinge H-bond + 芳环深入 Leu144(JNK3)/Leu106(JNK2) 后口袋 → JNK2/3 优先于 JNK1,共晶 PDB 4WHZ（JNK3–26k 1.8 Å）；hinge H-bond（pyrazole N2 + amide NH → Met149）；464 kinome @ 10 μM,JNK3 高活性；JNK2/3 > JNK1（Zheng SAR 系列）,否,26n @ 464 kinome 仅 7 个激酶 >80% @ 10 μM,研究先导；Wydra/Park 系列化学前体,J Med Chem,2014,https://doi.org/10.1021/jm501256y,Indexed (PMID 25343222),★★★,"[选择性] JNK2/3>JNK1：Leu106(JNK2)/Leu144(JNK3) vs JNK1 Ile106→HR-I后口袋容受更大芳环；JNK1 Ile侧链 clash | [结构] 共晶✅ JNK3 PDB 4WHZ(1.8Å,DFG-in)；对接=结构导向SAR+共晶验证非3NPC | DFG-in选择性范式；与BIRB796 DFG-out机制正交；**共价主表 id 14**
3,26n,26n,合成药物,—,Human,—,DFG-in ATP 口袋（氨基吡唑）,无共价弹头（可逆 ATP 竞争）,E_reversible_DFG_in,同 26k scaffold；优化溶剂暴露区 → JNK3 高 potency + kinome clean,464 kinome scan @ 10 μM；仅 7 个 off-target >80%,JNK3 选择性系列代表（Zheng Table SAR）,否,Kinome 显著优于 A-1 前体,研究先导,J Med Chem,2014,https://doi.org/10.1021/jm501256y,Indexed (PMID 25343222),★★☆,[选择性] JNK3 导向；同 Leu144/Ile106 轴；后口袋 fit 驱动亚型 | [结构] 共晶❌ 无独立PDB（系列参照4WHZ/26k）；对接=同Zheng SAR非3NPC | Wydra 56d 可逆前体化学 lineage
4,A-1,A-1,合成药物,—,Human,—,DFG-in ATP 口袋（氨基吡唑 + piperidine）,无共价弹头（可逆 ATP 竞争）,E_reversible_DFG_in,中央氨基吡唑 + HR-I 芳环占据 JNK2/3 后口袋 → 弱 JNK1 结合,33PanQuinase 三亚型 IC50；Park 2015 结构与功能关联,~30× JNK2/3 vs JNK1（Park 2015）,否,带正电荷 piperidine 降细胞渗透（vs 21b）,Wydra ligand-first 化学起点,Sci Rep,2015,https://doi.org/10.1038/srep08047,Indexed (PMID 25653166),★★☆,[选择性] JNK2/3~30× vs JNK1：Leu106/Leu144 后口袋；piperidine 影响 PK 非选择性主因 | [结构] 共晶❌（系列参照4WHZ）；对接=Park结构生物学+4WHZ机制非3NPC | Wydra 21b/56d 系列祖先 scaffold
5,16a,16a,合成药物,—,Human,—,DFG-in ATP 口袋（倒置酰胺氨基吡唑）,无共价弹头（可逆 ATP 竞争）,E_reversible_DFG_in,去溶剂区 naphthyl + 倒置酰胺 → 优化 JNK2/3 后口袋 fit → 114× vs JNK1,33PanQuinase 三亚型 IC50；Western blot p-c-Jun；肝微粒体稳定性,JNK1/JNK2 选择性 **114×**（Wydra 2025 可逆系列）,否,JNK2/3 双轴；JNK1 弱/无结合,56d 共价化叠合 scaffold 来源,J Med Chem,2025,https://doi.org/10.1021/acs.jmedchem.5c00884,Indexed (PMID 40404564),★★☆,[选择性] 114× vs JNK1：倒置酰胺+萘基填 Leu106 后口袋；JNK1 Ile106 clash | [结构] 共晶❌；对接=叠合16a+3V6S+4WHZ(Wydra)非盲对接非3NPC | 56d 共价设计直接前体
6,21b,21b,合成药物,—,Human,—,DFG-in ATP 口袋（苯甲酰胺 HR-II 优化）,无共价弹头（可逆 ATP 竞争）,E_reversible_DFG_in,HR-II 苯甲酰胺 + 氨基吡唑 → 深度 Leu106 后口袋 fit → JNK2/3 >> JNK1 → ↓ c-Jun,33PanQuinase IC50；WB p-c-Jun（HCC sorbitol 2 h）；小鼠肝微粒体 2 h >90% 剩余,JNK1/JNK2 **148×**；p-c-Jun ~**1.11 μM**（与 SP600125 相当）,否,JNK2/3 双选择性 benchmark；JNK1 无有效 IC50,PK 优于 A-1；56d 可逆对照 Tier-1,J Med Chem,2025,https://doi.org/10.1021/acs.jmedchem.5c00884,Indexed (PMID 40404564),★★★,"[选择性] 148× vs JNK1：ligand-first 并行测 JNK1/2/3→优化 Leu106/Ile106 差异；芳环/酰胺矢量匹配 JNK2 后口袋体积；JNK1 无 fit | [结构] 共晶❌；对接=4WHZ/Park2015 Leu106机制+MedChem叠合非3NPC DFG-out | 共价 56d 可逆前体；Tier-1 可逆阳性对照"
7,21h,21h,合成药物,—,Human,—,DFG-in ATP 口袋,无共价弹头（可逆 ATP 竞争）,E_reversible_DFG_in,同 21 系列；优化 PK/代谢 → JNK2 73 nM,33PanQuinase；小鼠 i.v. PK cassette,JNK1/JNK2 **83×**；JNK2 IC50 **73 nM**；JNK3 **45 nM**；i.v. t½=**3.33 h**,否,JNK2/3 双轴,可逆系列 PK 优化代表,J Med Chem,2025,https://doi.org/10.1021/acs.jmedchem.5c00884,Indexed (PMID 40404564),★★☆,[选择性] 83×；同 Leu106 后口袋逻辑 | [结构] 共晶❌；同21b范式 | PK 优化可逆对照
8,45a,45a,合成药物,—,Human,—,DFG-in ATP 口袋,无共价弹头（可逆 ATP 竞争）,E_reversible_DFG_in,可逆系列中 JNK2/3 potency 最优 → 低 nM 双 JNK2/3 抑制,33PanQuinase 三亚型 IC50,JNK2 **4 nM**；JNK3 **6 nM**；JNK1/JNK2 ~12×,否,强 JNK2/3 双轴；亚型选择性弱于 51d/21b,可逆 potency 上限参照,J Med Chem,2025,https://doi.org/10.1021/acs.jmedchem.5c00884,Indexed (PMID 40404564),★★☆,[选择性] JNK2/3 双强(4/6 nM)；选择性~12×(弱于51d) | [结构] 共晶❌ | 可逆 potency benchmark；非共价化 56d 前体选项
9,51d,51d,合成药物,—,Human,—,DFG-in ATP 口袋（倒置酰胺）,无共价弹头（可逆 ATP 竞争）,E_reversible_DFG_in,倒置酰胺取向 → **完全消除** JNK1 结合 → 保留 JNK2/3 后口袋 fit,33PanQuinase；肝微粒体 2 h >90% 剩余,JNK1/JNK2 **>340×**；JNK1 无结合,否,可逆系列最高亚型选择性；JNK2/3 双轴,56d 共价化化学前体；Tier-1 可逆对照,J Med Chem,2025,https://doi.org/10.1021/acs.jmedchem.5c00884,Indexed (PMID 40404564),★★★,"[选择性] >340× vs JNK1：倒置酰胺重定向 H-bond 网络+后口袋形状互补 Leu106；JNK1 Ile106 无法 accommodate → 完全丧失 JNK1 亲和力 | [结构] 共晶❌；对接=MedChem叠合+4WHZ Leu106机制非3NPC | 可逆亚型选择性最强代表之一"
10,SP600125,SP600125,合成药物（工具化合物）,—,Human,—,DFG-in ATP 口袋（anthrapyrazolone）,无共价弹头（可逆 ATP 竞争）,G_reversible_pan_JNK,ATP 竞争性 reversible 抑制 JNK → ↓ c-Jun / AP-1,生化 IC50 三亚型；广泛细胞 p-c-Jun 引用,JNK1/JNK2 IC50 **40 nM**；JNK3 **90 nM**,否,Pan-JNK **无** JNK1/2 亚型选择性；kinome off-target 显著,历史工具化合物；Wydra 21b 细胞对照,PNAS,2001,https://doi.org/10.1073/pnas.251194298,Indexed (PMID 11698644),✗（pan-JNK 阴性）,[选择性] 无亚型；三亚型近等(40/40/90 nM) | [结构] 共晶❌ 早期工具；无结构导向亚型设计 | Tier-1 pan-JNK 可逆阴性对照
