pair,end,expected_gene,expected_uniprot_for_labels,pdb,resolution,entry_title,resolved_accessions,primary_entity_desc,primary_coverage,source_organism,accession_matches_labels,is_human,cognate_comp_id,cognate_mw,cognate_name,cognate_is_small_molecule,pack,verdict
PIK3CA/mTOR,A,PIK3CA,P42336,4L23,2.501,Crystal Structure of p110alpha complexed with niSH2 of p85alpha and PI-103,P42336;P27986,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",1.0,Homo sapiens,1,1,X6K,348.355,"3-(4-MORPHOLIN-4-YLPYRIDO[3',2':4,5]FURO[3,2-D]PYRIMIDIN-2-YL)PHENOL",1,pik3ca_mtor_panel48_rdkit_v0,OK_expected_human_protein
PIK3CA/mTOR,B,MTOR,P42345,4JT6,3.6,structure of mTORDeltaN-mLST8-PI-103 complex,P42345;Q9BVC4,mTOR,1.0,Homo sapiens,1,1,X6K,348.355,"3-(4-MORPHOLIN-4-YLPYRIDO[3',2':4,5]FURO[3,2-D]PYRIMIDIN-2-YL)PHENOL",1,pik3ca_mtor_panel48_rdkit_v0,OK_expected_human_protein
AChE/BChE,A,ACHE,P22303,4EY7,2.3509,Crystal Structure of Recombinant Human Acetylcholinesterase in Complex with Donepezil,P22303,Acetylcholinesterase,1.0,Homo sapiens,1,1,E20,379.492,"1-BENZYL-4-[(5,6-DIMETHOXY-1-INDANON-2-YL)METHYL]PIPERIDINE",1,ache_bche_panel_v0,OK_expected_human_protein
AChE/BChE,B,BCHE,P06276,4BDS,2.1,Human butyrylcholinesterase in complex with tacrine,P06276,CHOLINESTERASE,1.0,HOMO SAPIENS,1,1,THA,198.264,TACRINE,1,ache_bche_panel_v0,OK_expected_human_protein
PIK3CA/PIK3CB,A,PIK3CA,P42336,4L23,2.501,Crystal Structure of p110alpha complexed with niSH2 of p85alpha and PI-103,P42336;P27986,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",1.0,Homo sapiens,1,1,X6K,348.355,"3-(4-MORPHOLIN-4-YLPYRIDO[3',2':4,5]FURO[3,2-D]PYRIMIDIN-2-YL)PHENOL",1,pik3ca_pik3cb_panel_v0,OK_expected_human_protein
PIK3CA/PIK3CB,B,PIK3CB,P42338,2WXF,1.9,The crystal structure of the murine class IA PI 3-kinase p110delta in complex with PIK-39.,O35904,"PHOSPHATIDYLINOSITOL-4,5-BISPHOSPHATE 3-KINASE CATALYTIC SUBUNIT DELTA ISOFORM",0.997872340425532,MUS MUSCULUS,0,0,039,450.901,2-((9H-PURIN-6-YLTHIO)METHYL)-5-CHLORO-3-(2-METHOXYPHENYL)QUINAZOLIN-4,1,pik3ca_pik3cb_panel_v0,WRONG_PROTEIN_AND_SPECIES
EGFR/HER2,A,EGFR,P00533,3POZ,1.5,EGFR Kinase domain complexed with tak-285,P00533,Epidermal growth factor receptor,1.0,Homo sapiens,1,1,03P,547.957,N-{2-[4-({3-chloro-4-[3-(trifluoromethyl)phenoxy]phenyl}amino)-5H-pyrr,1,egfr_her2_panel120_v0,OK_expected_human_protein
EGFR/HER2,B,ERBB2,P04626,3RCD,3.21,HER2 Kinase Domain Complexed with TAK-285,P04626,Receptor tyrosine-protein kinase erbB-2,0.9349112426035503,Homo sapiens,1,1,03P,547.957,N-{2-[4-({3-chloro-4-[3-(trifluoromethyl)phenoxy]phenyl}amino)-5H-pyrr,1,egfr_her2_panel120_v0,OK_expected_human_protein
PIK3CA/mTOR alt,A,PIK3CA,P42336,4JPS,2.2,Co-crystal Structures of the Lipid Kinase PI3K alpha with Pan and Isoform Selective Inhibitors,P42336;P27986,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",0.994413407821229,Homo sapiens,1,1,,,,0,jcim_structure_robust_v0,OK_expected_human_protein
PIK3CA/mTOR alt,A,PIK3CA,P42336,5DXT,2.25,p110alpha with GDC-0326,P42336,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",1.0,Homo sapiens,1,1,,,,0,jcim_structure_robust_v0,OK_expected_human_protein
PIK3CA/mTOR alt,B,MTOR,P42345,4JSX,3.5,structure of mTORDeltaN-mLST8-Torin2 complex,P42345;Q9BVC4,Serine/threonine-protein kinase mTOR,1.0,Homo sapiens,1,1,,,,0,jcim_structure_robust_v0,OK_expected_human_protein
rejected cand,B,PIK3CB,P42338,2Y3A,3.3,Crystal structure of p110beta in complex with icSH2 of p85beta and the drug GDC-0941,Q8BTI9;O08908,PHOSPHATIDYLINOSITOL 3-KINASE REGULATORY SUBUNIT BETA,0.9933774834437086,MUS MUSCULUS,0,0,GD9,513.636,2-(1H-indazol-4-yl)-6-{[4-(methylsulfonyl)piperazin-1-yl]methyl}-4-mor,1,not_used,WRONG_PROTEIN_AND_SPECIES
rejected cand,B,PIK3CB,P42338,4BFR,2.8,Discovery and Optimization of Pyrimidone Indoline Amide PI3Kbeta Inhibitors for the Treatment of Phosphatase and TENsin homologue (PTEN)-Deficient Can,Q8BTI9,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE 3-KINASE CATALYTIC S SUBUNIT BETA ISOFORM",0.9989495798319328,MUS MUSCULUS,0,0,J82,354.403,"2-[2-(2-METHYL-2,3-DIHYDRO-INDOL-1-YL)-2-OXO-ETHYL]-6-MORPHOLIN-4-YL-3",1,not_used,WRONG_PROTEIN_AND_SPECIES
rejected cand,B,PIK3CB,P42338,3T8M,2.5,Rational Design of PI3K-alpha Inhibitors that Exhibit Selectivity Over the PI3K-beta Isoform,P48736,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",0.9927536231884058,Homo sapiens,0,1,3T8,553.072,"N~2~-{2-chloro-4-[(4-methylpiperazin-1-yl)carbonyl]phenyl}-N~2~,N~8~-d",1,not_used,ACCESSION_MISMATCH_human
stress test,A,MCL1,Q07820,3WIY,2.15,Crystal structure of Mcl-1 in complex with compound 10,Q07820,Induced myeloid leukemia cell differentiation protein Mcl-1,0.968944099378882,Homo sapiens,1,1,,,,0,mcl1_bclxl_panel_v0,OK_expected_human_protein
stress test,B,BCL2L1,Q07817,3WIZ,2.45,Crystal structure of Bcl-xL in complex with compound 10,Q07817,Bcl-2-like protein 1,0.96045197740113,Homo sapiens,1,1,,,,0,mcl1_bclxl_panel_v0,OK_expected_human_protein
